title,authors,year,venue,doi,url,citation_count,semantic_scholar_id,fields_of_study,s2_fields_of_study
Semantics Derived Automatically from Language Corpora Contain Human-like Moral Choices,"Sophie F. Jentzsch, P. Schramowski, C. Rothkopf, K. Kersting",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314267,https://www.semanticscholar.org/paper/739f8fc0c3d5a1097d67b495ec21c61eb20ec3f0,71,739f8fc0c3d5a1097d67b495ec21c61eb20ec3f0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
The Seductive Allure of Artificial Intelligence-Powered Neurotechnology,"Charles M. Giattino, Lydia Kwong, Chad Rafetto, Nita A. Farahany",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314269,https://www.semanticscholar.org/paper/93f2aea18e44fc120525516d86fc1b464bd1a313,12,93f2aea18e44fc120525516d86fc1b464bd1a313,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
On Influencing Individual Behavior for Reducing Transportation Energy Expenditure in a Large Population,"Shiwali Mohan, Frances Yan, V. Bellotti, Ahmed A. Elbery, Hesham A Rakha, M. Klenk",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314271,https://www.semanticscholar.org/paper/12ba997b107e9e27a676d8705dadf08fa7310884,6,12ba997b107e9e27a676d8705dadf08fa7310884,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Robots Can Be More Than Black And White: Examining Racial Bias Towards Robots,"A. Addison, C. Bartneck, K. Yogeeswaran",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314272,https://www.semanticscholar.org/paper/c04657dd2a84c41aec85f67d187d90046d57b89c,25,c04657dd2a84c41aec85f67d187d90046d57b89c,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
How Technological Advances Can Reveal Rights,"Jack Parker, D. Danks",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314274,https://www.semanticscholar.org/paper/378815d7e50f39b5f7d4a376dd619bb526a1d132,4,378815d7e50f39b5f7d4a376dd619bb526a1d132,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Towards a Just Theory of Measurement: A Principled Social Measurement Assurance Program for Machine Learning,"McKane Andrus, T. Gilbert",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314275,https://www.semanticscholar.org/paper/8719b5185445d793153a507ba5622397183eaad1,4,8719b5185445d793153a507ba5622397183eaad1,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
The Right To Confront Your Accusers: Opening the Black Box of Forensic DNA Software,"Jeanna Neefe Matthews, Marzieh Babaeianjelodar, Stephen Lorenz, Abigail V. Matthews, Mariama Njie, Nathaniel Adams, D. Krane, Jessica Goldthwaite, Clinton Hughes",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314279,https://www.semanticscholar.org/paper/1577bf434b6c6ad3994a54ffd5ac2b226161daf8,17,1577bf434b6c6ad3994a54ffd5ac2b226161daf8,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Shared Moral Foundations of Embodied Artificial Intelligence,Joëlle M. Cruz,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314280,https://www.semanticscholar.org/paper/75d6343635f667576dcb418df49800bb0e760aa7,6,75d6343635f667576dcb418df49800bb0e760aa7,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
(When) Can AI Bots Lie?,"Tathagata Chakraborti, S. Kambhampati",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314281,https://www.semanticscholar.org/paper/60bbcb24e7794b5a1a64f8f544abb177958919c6,38,60bbcb24e7794b5a1a64f8f544abb177958919c6,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
IMLI: An Incremental Framework for MaxSAT-Based Learning of Interpretable Classification Rules,"Bishwamittra Ghosh, Kuldeep S. Meel",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314283,https://www.semanticscholar.org/paper/f52d22d1bb0394b7c26d955a6bbadbfe7f60d191,36,f52d22d1bb0394b7c26d955a6bbadbfe7f60d191,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
A Comparative Analysis of Emotion-Detecting AI Systems with Respect to Algorithm Performance and Dataset Diversity,"De'Aira G. Bryant, A. Howard",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314284,https://www.semanticscholar.org/paper/455626573013a77ca1b719ed06ca138594b24dbf,26,455626573013a77ca1b719ed06ca138594b24dbf,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
Framing Artificial Intelligence in American Newspapers,"C. Chuan, W. Tsai, Sumi Cho",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314285,https://www.semanticscholar.org/paper/c483351957d782ea50c89d61e126de03eacf984b,144,c483351957d782ea50c89d61e126de03eacf984b,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Invisible Influence: Artificial Intelligence and the Ethics of Adaptive Choice Architectures,Daniel Susser,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314286,https://www.semanticscholar.org/paper/ba74a7b1cbf4d9902a337c2836f8a6f2e8e7a4c9,64,ba74a7b1cbf4d9902a337c2836f8a6f2e8e7a4c9,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Degenerate Feedback Loops in Recommender Systems,"Ray Jiang, S. Chiappa, Tor Lattimore, A. György, Pushmeet Kohli",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314288,https://www.semanticscholar.org/paper/92b55d1b93b80eaac3612ef8fca2677bd7d8740b,223,92b55d1b93b80eaac3612ef8fca2677bd7d8740b,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
The Role and Limits of Principles in AI Ethics: Towards a Focus on Tensions,"Jess Whittlestone, Rune Nyrup, A. Alexandrova, S. Cave",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314289,https://www.semanticscholar.org/paper/304f2d1cf97ac8fb071b5357e97691d64f4e8f6a,307,304f2d1cf97ac8fb071b5357e97691d64f4e8f6a,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Equalized Odds Implies Partially Equalized Outcomes Under Realistic Assumptions,D. McNamara,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314290,https://www.semanticscholar.org/paper/4528ce4123ed1b79b6e9eb52ea9d0e8e77a1aea7,6,4528ce4123ed1b79b6e9eb52ea9d0e8e77a1aea7,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]"
Killer Robots and Human Dignity,Daniel Lim,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314291,https://www.semanticscholar.org/paper/ab40824fca705f794c346d217554c86ff6aec3da,8,ab40824fca705f794c346d217554c86ff6aec3da,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
"Speaking on Behalf of: Representation, Delegation, and Authority in Computational Text Analysis","E. Baumer, M. McGee",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314292,https://www.semanticscholar.org/paper/430b15cf87001b782ad87477ed479d3ec88bfb23,8,430b15cf87001b782ad87477ed479d3ec88bfb23,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Linguistics', 'source': 's2-fos-model'}]"
Explanatory Interactive Machine Learning,"Stefano Teso, K. Kersting",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314293,https://www.semanticscholar.org/paper/f57254ac87c6a46c0cb0e582b173fe183b84a389,248,f57254ac87c6a46c0cb0e582b173fe183b84a389,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Epistemic Therapy for Bias in Automated Decision-Making,"T. Gilbert, Yonatan Dov Mintz",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314294,https://www.semanticscholar.org/paper/416312b9cf98249cb2afc22d5e73ecab337c490d,13,416312b9cf98249cb2afc22d5e73ecab337c490d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
Regulating Lethal and Harmful Autonomy: Drafting a Protocol VI of the Convention on Certain Conventional Weapons,Sean Welsh,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314295,https://www.semanticscholar.org/paper/b12132ccacd1fec4465433f83230bb3c7ed7d8db,1,b12132ccacd1fec4465433f83230bb3c7ed7d8db,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Costs and Benefits of Fair Representation Learning,"D. McNamara, Cheng Soon Ong, R. C. Williamson",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3317964,https://www.semanticscholar.org/paper/22954c8d9d29075a5f520edc7221cf16e9cec958,65,22954c8d9d29075a5f520edc7221cf16e9cec958,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
"What's Next for AI Ethics, Policy, and Governance? A Global Overview","Daniel S. Schiff, J. Biddle, J. Borenstein, Kelly Laas",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375804,https://www.semanticscholar.org/paper/c129d712fa315894545ca1d2ad32bdaf3bade97d,148,c129d712fa315894545ca1d2ad32bdaf3bade97d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
The AI Liability Puzzle and a Fund-Based Work-Around,"Olivia J. Erd'elyi, G'abor Erd'elyi",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375806,https://www.semanticscholar.org/paper/871f30f6665601800a916d3c6b4a5e1de7c39e7b,16,871f30f6665601800a916d3c6b4a5e1de7c39e7b,"['Computer Science', 'Business']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
CERTIFAI: A Common Framework to Provide Explanations and Analyse the Fairness and Robustness of Black-box Models,"Shubham Sharma, Jette Henderson, Joydeep Ghosh",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375812,https://www.semanticscholar.org/paper/6eaf8bfd156c1e482fe2b6d6a2b5c1d50c2c102f,179,6eaf8bfd156c1e482fe2b6d6a2b5c1d50c2c102f,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
The Offense-Defense Balance of Scientific Knowledge: Does Publishing AI Research Reduce Misuse?,"Toby Shevlane, A. Dafoe",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375815,https://www.semanticscholar.org/paper/0ef6b858f36002c2b38adac855fd1c5903d3edf1,33,0ef6b858f36002c2b38adac855fd1c5903d3edf1,"['Political Science', 'Computer Science']","[{'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Exploring AI Futures Through Role Play,"S. Avin, Ross Gruetzemacher, J. Fox",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375817,https://www.semanticscholar.org/paper/867c5cd4606f00b9dffb0bb7a7540b18a0d41fb0,21,867c5cd4606f00b9dffb0bb7a7540b18a0d41fb0,"['Computer Science', 'Political Science']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours,"Vedant Nanda, Pan Xu, Karthik Abinav Sankararaman, John P. Dickerson, A. Srinivasan",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375818,https://www.semanticscholar.org/paper/3a8b68f6e2ae315e86714036bfcc1a16154a5a42,71,3a8b68f6e2ae315e86714036bfcc1a16154a5a42,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Human Comprehension of Fairness in Machine Learning,"Debjani Saha, Candice Schumann, Duncan C. McElfresh, John P. Dickerson, Michelle L. Mazurek, Michael Carl Tschantz",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375819,https://www.semanticscholar.org/paper/06d7ce82c5d14a735f8fc9e73c63ec2cb13b134b,17,06d7ce82c5d14a735f8fc9e73c63ec2cb13b134b,"['Computer Science', 'Psychology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Fair Allocation through Selective Information Acquisition,"William Cai, Johann D. Gaebler, Nikhil Garg, Sharad Goel",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375823,https://www.semanticscholar.org/paper/e951d371dc746f58b56d642eac4852df42bc3bf1,30,e951d371dc746f58b56d642eac4852df42bc3bf1,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Learning Norms from Stories: A Prior for Value Aligned Agents,"Spencer Frazier, Md Sultan Al Nahian, Mark O. Riedl, Brent Harrison",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375825,https://www.semanticscholar.org/paper/47f8fc90b8a977022caba627b82e492d9c588744,41,47f8fc90b8a977022caba627b82e492d9c588744,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
U.S. Public Opinion on the Governance of Artificial Intelligence,"Baobao Zhang, A. Dafoe",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375827,https://www.semanticscholar.org/paper/a1435432eb933fa06d26b2b967ed785016d24be2,76,a1435432eb933fa06d26b2b967ed785016d24be2,"['Political Science', 'Computer Science']","[{'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Fooling LIME and SHAP: Adversarial Attacks on Post hoc Explanation Methods,"Dylan Slack, Sophie Hilgard, Emily Jia, Sameer Singh, Himabindu Lakkaraju",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375830,https://www.semanticscholar.org/paper/653864b10564ab4712c07a3d4043a1d794b13c46,984,653864b10564ab4712c07a3d4043a1d794b13c46,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
"""How do I fool you?"": Manipulating User Trust via Misleading Black Box Explanations","Himabindu Lakkaraju, Osbert Bastani",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375833,https://www.semanticscholar.org/paper/e656b0376ca11f533ea01097c70f98c0ff655c00,279,e656b0376ca11f533ea01097c70f98c0ff655c00,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Defining AI in Policy versus Practice,"P. Krafft, Meg Young, Michael A. Katell, Karen Huang, Ghislain Bugingo",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375835,https://www.semanticscholar.org/paper/41ca1118a5878af28be2ffacb322311e00c88bfa,97,41ca1118a5878af28be2ffacb322311e00c88bfa,"['Political Science', 'Computer Science', 'Physics']","[{'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
On the Privacy Risks of Model Explanations,"R. Shokri, Martin Strobel, Yair Zick",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3461702.3462533,https://www.semanticscholar.org/paper/1e47d5f0fb35a9e19df0a1e4d697e71eaa00f224,140,1e47d5f0fb35a9e19df0a1e4d697e71eaa00f224,"['Business', 'Computer Science']","[{'category': 'Business', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
"Algorithms that ""Don't See Color"": Measuring Biases in Lookalike and Special Ad Audiences","Piotr Sapiezynski, A. Ghosh, Lev Kaplan, A. Mislove, A. Rieke",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3514094.3534135,https://www.semanticscholar.org/paper/ff941a2efffd8e7468326be759a9a045f9e695a3,27,ff941a2efffd8e7468326be759a9a045f9e695a3,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]"
No Rage Against the Machines: Threat of Automation Does Not Change Policy Preferences,Baobao Zhang,2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3514094.3534179,https://www.semanticscholar.org/paper/36680b2544227be47994b61ddbe42aee108d2618,28,36680b2544227be47994b61ddbe42aee108d2618,"['Computer Science', 'Business']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Learning from Discriminatory Training Data,"Przemyslaw A. Grabowicz, Nicholas Perello, Kenta Takatsu",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3600211.3604710,https://www.semanticscholar.org/paper/f6c6179bf94542391abbc54ffcc438bd8c68889c,1,f6c6179bf94542391abbc54ffcc438bd8c68889c,"['Computer Science', 'Physics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Trade-offs in Fair Redistricting,Zachary Schutzman,2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375802,https://www.semanticscholar.org/paper/80f0170446c10d7ec7025ef37a43da3f2dd58a04,6,80f0170446c10d7ec7025ef37a43da3f2dd58a04,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Beyond Near- and Long-Term: Towards a Clearer Account of Research Priorities in AI Ethics and Society,"Carina Prunkl, Jess Whittlestone",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375803,https://www.semanticscholar.org/paper/6384b3013eb4e7868c0853a1b12a10175abebaaf,27,6384b3013eb4e7868c0853a1b12a10175abebaaf,"['Computer Science', 'Sociology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Sociology', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
An Empirical Approach to Capture Moral Uncertainty in AI,"Andreia Martinho, M. Kroesen, C. Chorus",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375805,https://www.semanticscholar.org/paper/5807b4d00314ae8d5fd611ffb8a61bde2dbcf887,9,5807b4d00314ae8d5fd611ffb8a61bde2dbcf887,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
When Trusted Black Boxes Don't Agree: Incentivizing Iterative Improvement and Accountability in Critical Software Systems,"Jeanna Neefe Matthews, G. Northup, Isabella Grasso, Stephen Lorenz, Marzieh Babaeianjelodar, Hunter Bashaw, Sumona Mondal, Abigail V. Matthews, Mariama Njie, Jessica Goldthwaite",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375807,https://www.semanticscholar.org/paper/c1fcd2f51127b5f568de4c384ead42e02415283b,14,c1fcd2f51127b5f568de4c384ead42e02415283b,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Normative Principles for Evaluating Fairness in Machine Learning,Derek Leben,2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375808,https://www.semanticscholar.org/paper/2008f088f0b727d20776829045bfd49052471d76,40,2008f088f0b727d20776829045bfd49052471d76,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
"Biased Priorities, Biased Outcomes: Three Recommendations for Ethics-oriented Data Annotation Practices","Gunay Kazimzade, Milagros Miceli",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375809,https://www.semanticscholar.org/paper/4487990095b12b47440952ee878966ff9a04b8e8,22,4487990095b12b47440952ee878966ff9a04b8e8,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
"Different ""Intelligibility"" for Different Folks","Yishan Zhou, D. Danks",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375810,https://www.semanticscholar.org/paper/408b1bc37d4c7f8b87909e882188c7f9179148c1,25,408b1bc37d4c7f8b87909e882188c7f9179148c1,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Ethics for AI Writing: The Importance of Rhetorical Context,"H. McKee, J. E. Porter",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375811,https://www.semanticscholar.org/paper/c5d565e8cc0e9714ca0a7e65365d35752368d0df,24,c5d565e8cc0e9714ca0a7e65365d35752368d0df,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
The Problem with Intelligence: Its Value-Laden History and the Future of AI,S. Cave,2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375813,https://www.semanticscholar.org/paper/2a0036b482d9be9ddc3f924ef3c944f73f680618,54,2a0036b482d9be9ddc3f924ef3c944f73f680618,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'History', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]"
Activism by the AI Community: Analysing Recent Achievements and Future Prospects,Haydn Belfield,2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375814,https://www.semanticscholar.org/paper/a474767a821f0f91b502629b6b8deeb345ed58f4,49,a474767a821f0f91b502629b6b8deeb345ed58f4,"['Computer Science', 'Political Science']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Algorithmized but not Atomized? How Digital Platforms Engender New Forms of Worker Solidarity in Jakarta,Rida Qadri,2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375816,https://www.semanticscholar.org/paper/814d29700f8633f01946ed9514fa0736c78f4d45,16,814d29700f8633f01946ed9514fa0736c78f4d45,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]"
Saving Face: Investigating the Ethical Concerns of Facial Recognition Auditing,"Inioluwa Deborah Raji, Timnit Gebru, Margaret Mitchell, Joy Buolamwini, Joonseok Lee, Emily L. Denton",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375820,https://www.semanticscholar.org/paper/22a0e7c06f1e64729211177f80d1b9dcaab3c706,311,22a0e7c06f1e64729211177f80d1b9dcaab3c706,"['Computer Science', 'Psychology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
Bayesian Sensitivity Analysis for Offline Policy Evaluation,"Jongbin Jung, Ravi Shroff, A. Feller, Sharad Goel",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375822,https://www.semanticscholar.org/paper/c3e96e199e6240e4b22958f77d275432007a6a44,10,c3e96e199e6240e4b22958f77d275432007a6a44,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
